config,seed,k_frac,arm,total_neurons,ridge_a1,ridge_a01,ridge_a10,logistic,knn20,archived,n_shuf_reps
cifar10_r50_geo_m,9,0.15,shuf,2048,0.8363199710845948,0.8363199710845948,0.8363199710845948,0.8618199706077576,0.77906,0.8363199710845948,5.0
cifar10_r50_geo_m,9,0.2,orig,2048,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.9049999713897705,0.8709,0.8931999802589417,1.0
cifar10_r50_geo_m,9,0.2,shuf,2048,0.8516999840736389,0.8516999840736389,0.8516799807548523,0.872819983959198,0.79676,0.8516999840736389,5.0
cifar10_r50_geo_m,9,0.25,orig,2048,0.8944999575614929,0.8944999575614929,0.8944999575614929,0.9059999585151672,0.8706,0.8944999575614929,1.0
cifar10_r50_geo_m,9,0.25,shuf,2048,0.8641599774360657,0.8641599774360657,0.864139974117279,0.8809999823570251,0.8112199999999999,0.8641599774360657,5.0
cifar10_r50_geo_m,9,0.3,orig,2048,0.899399995803833,0.899399995803833,0.899399995803833,0.9027000069618225,0.8756,0.899399995803833,1.0
cifar10_r50_geo_m,9,0.3,shuf,2048,0.8718799710273742,0.8718799710273742,0.8719199657440185,0.884499979019165,0.8251,0.8718799710273742,5.0
cifar10_r50_geo_m,9,0.5,orig,2048,0.9088000059127808,0.9088000059127808,0.9088000059127808,0.9018999934196472,0.8796,0.9088000059127808,1.0
cifar10_r50_geo_m,9,0.5,shuf,2048,0.8923799872398377,0.8923799872398377,0.8923799872398377,0.8890199899673462,0.84726,0.8923799872398377,5.0
cifar10_r50_geo_r,0,0.05,orig,2048,0.7896999716758728,0.7896999716758728,0.7896999716758728,0.8333999514579773,0.7805,0.7896999716758728,1.0
cifar10_r50_geo_r,0,0.05,shuf,2048,0.738699996471405,0.7386799931526185,0.7386599898338317,0.7845799803733826,0.69438,0.738699996471405,5.0
cifar10_r50_geo_r,0,0.1,orig,2048,0.8436999917030334,0.8436999917030334,0.8436999917030334,0.8762999773025513,0.8283,0.8436999917030334,1.0
cifar10_r50_geo_r,0,0.1,shuf,2048,0.8154399752616882,0.8154199719429016,0.815399968624115,0.8438799738883972,0.7531800000000001,0.8154399752616882,5.0
cifar10_r50_geo_r,0,0.15,orig,2048,0.8664000034332275,0.8664000034332275,0.8664000034332275,0.8883999586105347,0.8407,0.8664000034332275,1.0
cifar10_r50_geo_r,0,0.15,shuf,2048,0.8409999728202819,0.8409999728202819,0.8410199761390686,0.8629599690437317,0.7865399999999999,0.8409999728202819,5.0
cifar10_r50_geo_r,0,0.2,orig,2048,0.8743000030517578,0.8743000030517578,0.8743000030517578,0.8921999931335449,0.8487,0.8743000030517578,1.0
cifar10_r50_geo_r,0,0.2,shuf,2048,0.855899977684021,0.855899977684021,0.855899977684021,0.8749199867248535,0.8028600000000001,0.855899977684021,5.0
cifar10_r50_geo_r,0,0.25,orig,2048,0.8833999633789062,0.8833999633789062,0.8833999633789062,0.8991000056266785,0.8527,0.8833999633789062,1.0
cifar10_r50_geo_r,0,0.25,shuf,2048,0.8687599778175354,0.8687599778175354,0.8687599778175354,0.8812599658966065,0.8163799999999999,0.8687599778175354,5.0
cifar10_r50_geo_r,0,0.3,orig,2048,0.8831999897956848,0.8831999897956848,0.8831999897956848,0.892799973487854,0.8529,0.8831999897956848,1.0
cifar10_r50_geo_r,0,0.3,shuf,2048,0.8763399600982666,0.8763399600982666,0.8763599634170532,0.886299991607666,0.8251200000000001,0.8763399600982666,5.0
cifar10_r50_geo_r,0,0.5,orig,2048,0.895799994468689,0.895799994468689,0.8956999778747559,0.8915999531745911,0.8575,0.895799994468689,1.0
cifar10_r50_geo_r,0,0.5,shuf,2048,0.8936399698257447,0.8936399698257447,0.8936599731445313,0.8887199759483337,0.8466400000000001,0.8936399698257447,5.0
