dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
cifar10,r50,geo_m,mean of 5 permutations,0.9,10,0.9099799871444703,0.9087759840488434,0.0012040030956268378,0.0008545321630836831,0.0015534740281699924,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.95,10,0.9097199738025665,0.9100159752368926,-0.0002960014343261541,-0.0008160615223764088,0.00022405865372410064,0.8125,1.0,0.8125,False,False
cifar10,r50,geo_m,mean of 5 permutations,1.0,10,0.9106000065803528,0.9106000065803528,0.0,0.0,0.0,0.5,1.0,0.5263157894736842,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.05,10,0.8228599786758423,0.8156099748611452,0.007250003814697259,-0.0009128000427309838,0.015412807672125502,0.0322265625,0.64453125,0.64453125,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.1,10,0.8739599883556366,0.8740779817104339,-0.00011799335479735218,-0.005358820341358577,0.005122833631763872,0.5,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.15,10,0.8947999715805054,0.8959119749069213,-0.0011120033264160113,-0.003287010240567924,0.0010630035877359015,0.8623046875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.2,10,0.9066299676895142,0.9069439780712127,-0.0003140103816986151,-0.003257607848087157,0.002629587084689927,0.5771484375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.25,10,0.9140999734401702,0.9144779753684998,-0.0003780019283294633,-0.002061377541128897,0.0013053736844699701,0.6875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.3,10,0.9188999831676483,0.9198159754276276,-0.0009159922599792592,-0.003265516186938877,0.001433531666980359,0.7841796875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.35,10,0.9226099789142609,0.9239719772338866,-0.0013619983196258457,-0.002842669937145135,0.00011867329789344333,0.9677734375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.4,10,0.9253399729728699,0.9268259763717651,-0.0014860033988952747,-0.002982909741721657,1.090294393110724e-05,0.9580078125,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.45,10,0.9283299624919892,0.9289139795303345,-0.0005840170383453414,-0.0018741301801839627,0.00070609610349328,0.8388671875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.5,10,0.9302599728107452,0.931249977350235,-0.0009900045394897305,-0.0020476635707697265,6.765449179026552e-05,0.9345703125,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.55,10,0.9320299744606018,0.9330179738998414,-0.0009879994392395064,-0.002037212304553935,6.121342607492237e-05,0.9677734375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.6,10,0.9334899723529816,0.9344339787960052,-0.0009440064430236816,-0.0017100337481411113,-0.00017797913790625194,0.990234375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.65,10,0.9351299703121185,0.9355419743061064,-0.0004120039939880304,-0.0009062522872483873,8.224429927232641e-05,0.9345703125,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.7,10,0.9358299791812896,0.9366199767589569,-0.000789997577667223,-0.0015086926648804387,-7.130249045400735e-05,0.9755859375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.75,10,0.9368299782276154,0.9374779748916626,-0.0006479966640472567,-0.0014411793721654988,0.00014518604407098542,0.9580078125,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.8,10,0.9374999701976776,0.9382739746570588,-0.0007740044593811058,-0.0014985566745286147,-4.945224423359674e-05,0.9814453125,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.85,10,0.9380499720573425,0.9391219735145567,-0.0010720014572143332,-0.0014074136104381611,-0.0007365893039905052,0.9990234375,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.9,10,0.9382799804210663,0.9394679772853852,-0.0011879968643188298,-0.0018090399490899934,-0.0005669537795476664,0.9951171875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,0.95,10,0.93919997215271,0.9401459753513336,-0.0009460031986236572,-0.001430620890136637,-0.0004613855071106773,0.998046875,1.0,0.9990234375,False,False
cifar10,vit,geo_r,mean of 5 permutations,1.0,10,0.9404000043869019,0.9404000043869019,0.0,0.0,0.0,0.5,1.0,0.9990234375,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.05,10,0.8596299767494202,0.8145359766483307,0.04509400010108949,0.04062137528926364,0.049566624912915344,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.1,10,0.8931399762630463,0.8730199801921843,0.020119996070861824,0.017730028308028566,0.022509963833695083,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.15,10,0.9067199766635895,0.8950779736042023,0.011642003059387196,0.009337895228450147,0.013946110890324246,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.2,10,0.914089971780777,0.9068719792366027,0.007217992544174201,0.00510955460906125,0.009326430479287152,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.25,10,0.9203399837017059,0.9143539738655091,0.005986009836196904,0.004994801582765941,0.006977218089627867,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.3,10,0.9244799733161926,0.9196179831027985,0.004861990213394151,0.0039613995884594695,0.005762580838328833,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.35,10,0.9257199764251709,0.9230819749832152,0.002638001441955573,0.0013608442070597788,0.003915158676851367,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,vit,geo_m,mean of 5 permutations,0.4,10,0.9286399722099304,0.9266019749641418,0.002037997245788581,0.0007766489048265371,0.003299345586750625,0.0048828125,0.0634765625,0.01220703125,False,True
cifar10,vit,geo_m,mean of 5 permutations,0.45,10,0.9303399682044983,0.9290459728240966,0.0012939953804016247,0.0002021866287245642,0.0023858041320786853,0.0185546875,0.22265625,0.04123263888888889,False,True
cifar10,vit,geo_m,mean of 5 permutations,0.5,10,0.9318999767303466,0.9311379778385163,0.0007619988918304288,-9.025017755894243e-05,0.0016142479612198,0.052734375,0.580078125,0.10546875,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.55,10,0.9333799779415131,0.9329819786548613,0.00039799928665160687,-0.0006327039929256978,0.0014287025662289114,0.1611328125,1.0,0.2478966346153846,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.6,10,0.9351799666881562,0.9342539763450622,0.0009259903430938743,-8.302127906092862e-05,0.0019350019652486772,0.0654296875,0.654296875,0.11896306818181818,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.65,10,0.9357399761676788,0.9355159759521486,0.00022400021553038442,-0.0007181403492515323,0.0011661407803123013,0.4228515625,1.0,0.6040736607142857,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.7,10,0.9370999872684479,0.9366819775104525,0.0004180097579955966,-0.0002020167894592663,0.0010380363054504594,0.1318359375,1.0,0.2197265625,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.75,10,0.9369499742984772,0.9375499761104583,-0.0006000018119811879,-0.001415906360810458,0.00021590273684808246,0.9345703125,1.0,0.998046875,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.8,10,0.937559962272644,0.9383099758625031,-0.0007500135898589999,-0.0014281321235138584,-7.189505620414126e-05,0.9814453125,1.0,0.998046875,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.85,10,0.9377299785614014,0.939003974199295,-0.001273995637893688,-0.002258403521002415,-0.0002895877547849613,0.986328125,1.0,0.998046875,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.9,10,0.9381499826908112,0.9394519758224489,-0.00130199313163758,-0.0020962456254405267,-0.0005077406378346333,0.998046875,1.0,0.998046875,False,False
cifar10,vit,geo_m,mean of 5 permutations,0.95,10,0.939359974861145,0.9400339722633362,-0.0006739974021911621,-0.0011429659476188776,-0.0002050288567634465,0.9951171875,1.0,0.998046875,False,False
