dataset,arm,seed,k_frac,k_neurons,reference,jaccard,jaccard_null_expected,calib
cifar10,geo_m,9,0.05,102,probe_weight,0.3509933774834437,0.02553830746119179,full_train
cifar10,geo_m,9,0.1,204,magnitude,0.3972602739726027,0.052415210688591986,full_train
cifar10,geo_m,9,0.1,204,variance,0.6,0.052415210688591986,full_train
cifar10,geo_m,9,0.1,204,rate,0.20710059171597633,0.052415210688591986,full_train
cifar10,geo_m,9,0.1,204,probe_weight,0.3377049180327869,0.052415210688591986,full_train
cifar10,geo_m,9,0.2,409,magnitude,0.4981684981684982,0.11093029563330621,full_train
cifar10,geo_m,9,0.2,409,variance,0.623015873015873,0.11093029563330621,full_train
cifar10,geo_m,9,0.2,409,rate,0.2984126984126984,0.11093029563330621,full_train
cifar10,geo_m,9,0.2,409,probe_weight,0.42757417102966844,0.11093029563330621,full_train
cifar10,geo_m,9,0.5,1024,magnitude,0.9051162790697674,0.3333333333333333,full_train
cifar10,geo_m,9,0.5,1024,variance,0.9523355576739753,0.3333333333333333,full_train
cifar10,geo_m,9,0.5,1024,rate,0.7777777777777778,0.3333333333333333,full_train
cifar10,geo_m,9,0.5,1024,probe_weight,0.6292760540970564,0.3333333333333333,full_train
cifar10,geo_r,0,0.05,102,magnitude,0.19298245614035087,0.02553830746119179,full_train
cifar10,geo_r,0,0.05,102,variance,0.1724137931034483,0.02553830746119179,full_train
cifar10,geo_r,0,0.05,102,rate,0.14606741573033707,0.02553830746119179,full_train
cifar10,geo_r,0,0.05,102,probe_weight,0.11475409836065574,0.02553830746119179,full_train
cifar10,geo_r,0,0.1,204,magnitude,0.3691275167785235,0.052415210688591986,full_train
cifar10,geo_r,0,0.1,204,variance,0.31189710610932475,0.052415210688591986,full_train
cifar10,geo_r,0,0.1,204,rate,0.3377049180327869,0.052415210688591986,full_train
cifar10,geo_r,0,0.1,204,probe_weight,0.15254237288135594,0.052415210688591986,full_train
cifar10,geo_r,0,0.2,409,magnitude,0.4201388888888889,0.11093029563330621,full_train
cifar10,geo_r,0,0.2,409,variance,0.3771043771043771,0.11093029563330621,full_train
cifar10,geo_r,0,0.2,409,rate,0.4226086956521739,0.11093029563330621,full_train
cifar10,geo_r,0,0.2,409,probe_weight,0.25846153846153846,0.11093029563330621,full_train
cifar10,geo_r,0,0.5,1024,magnitude,0.5283582089552239,0.3333333333333333,full_train
cifar10,geo_r,0,0.5,1024,variance,0.514792899408284,0.3333333333333333,full_train
cifar10,geo_r,0,0.5,1024,rate,0.5306427503736921,0.3333333333333333,full_train
cifar10,geo_r,0,0.5,1024,probe_weight,0.47126436781609193,0.3333333333333333,full_train
cifar10,geo_r,1,0.05,102,magnitude,0.19298245614035087,0.02553830746119179,full_train
cifar10,geo_r,1,0.05,102,variance,0.2289156626506024,0.02553830746119179,full_train
cifar10,geo_r,1,0.05,102,rate,0.1270718232044199,0.02553830746119179,full_train
cifar10,geo_r,1,0.05,102,probe_weight,0.1270718232044199,0.02553830746119179,full_train
cifar10,geo_r,1,0.1,204,magnitude,0.4068965517241379,0.052415210688591986,full_train
cifar10,geo_r,1,0.1,204,variance,0.36454849498327757,0.052415210688591986,full_train
cifar10,geo_r,1,0.1,204,rate,0.34210526315789475,0.052415210688591986,full_train
cifar10,geo_r,1,0.1,204,probe_weight,0.20710059171597633,0.052415210688591986,full_train
cifar10,geo_r,1,0.2,409,magnitude,0.450354609929078,0.11093029563330621,full_train
cifar10,geo_r,1,0.2,409,variance,0.43257443082311736,0.11093029563330621,full_train
cifar10,geo_r,1,0.2,409,rate,0.41522491349480967,0.11093029563330621,full_train
cifar10,geo_r,1,0.2,409,probe_weight,0.33442088091353994,0.11093029563330621,full_train
cifar10,geo_r,1,0.5,1024,magnitude,0.6384,0.3333333333333333,full_train
cifar10,geo_r,1,0.5,1024,variance,0.6292760540970564,0.3333333333333333,full_train
cifar10,geo_r,1,0.5,1024,rate,0.6075353218210361,0.3333333333333333,full_train
cifar10,geo_r,1,0.5,1024,probe_weight,0.5329341317365269,0.3333333333333333,full_train
cifar10,geo_r,2,0.05,102,magnitude,0.23636363636363636,0.02553830746119179,full_train
cifar10,geo_r,2,0.05,102,variance,0.24390243902439024,0.02553830746119179,full_train
cifar10,geo_r,2,0.05,102,rate,0.1724137931034483,0.02553830746119179,full_train
cifar10,geo_r,2,0.05,102,probe_weight,0.1724137931034483,0.02553830746119179,full_train
cifar10,geo_r,2,0.1,204,magnitude,0.27102803738317754,0.052415210688591986,full_train
cifar10,geo_r,2,0.1,204,variance,0.27899686520376177,0.052415210688591986,full_train
cifar10,geo_r,2,0.1,204,rate,0.2289156626506024,0.052415210688591986,full_train
cifar10,geo_r,2,0.1,204,probe_weight,0.16905444126074498,0.052415210688591986,full_train
cifar10,geo_r,2,0.2,409,magnitude,0.28213166144200624,0.11093029563330621,full_train
cifar10,geo_r,2,0.2,409,variance,0.2902208201892745,0.11093029563330621,full_train
cifar10,geo_r,2,0.2,409,rate,0.2565284178187404,0.11093029563330621,full_train
cifar10,geo_r,2,0.2,409,probe_weight,0.24316109422492402,0.11093029563330621,full_train
cifar10,geo_r,2,0.5,1024,magnitude,0.42717770034843205,0.3333333333333333,full_train
cifar10,geo_r,2,0.5,1024,variance,0.42618384401114207,0.3333333333333333,full_train
cifar10,geo_r,2,0.5,1024,rate,0.4222222222222222,0.3333333333333333,full_train
cifar10,geo_r,2,0.5,1024,probe_weight,0.40949759119064005,0.3333333333333333,full_train
cifar10,geo_r,3,0.05,102,magnitude,0.2670807453416149,0.02553830746119179,full_train
cifar10,geo_r,3,0.05,102,variance,0.25153374233128833,0.02553830746119179,full_train
cifar10,geo_r,3,0.05,102,rate,0.25153374233128833,0.02553830746119179,full_train
cifar10,geo_r,3,0.05,102,probe_weight,0.15254237288135594,0.02553830746119179,full_train
cifar10,geo_r,3,0.1,204,magnitude,0.3924914675767918,0.052415210688591986,full_train
cifar10,geo_r,3,0.1,204,variance,0.3509933774834437,0.052415210688591986,full_train
cifar10,geo_r,3,0.1,204,rate,0.3465346534653465,0.052415210688591986,full_train
cifar10,geo_r,3,0.1,204,probe_weight,0.21428571428571427,0.052415210688591986,full_train
cifar10,geo_r,3,0.2,409,magnitude,0.484573502722323,0.11093029563330621,full_train
cifar10,geo_r,3,0.2,409,variance,0.46332737030411447,0.11093029563330621,full_train
cifar10,geo_r,3,0.2,409,rate,0.44778761061946903,0.11093029563330621,full_train
cifar10,geo_r,3,0.2,409,probe_weight,0.33442088091353994,0.11093029563330621,full_train
cifar10,geo_r,3,0.5,1024,magnitude,0.5103244837758112,0.3333333333333333,full_train
cifar10,geo_r,3,0.5,1024,variance,0.508100147275405,0.3333333333333333,full_train
cifar10,geo_r,3,0.5,1024,rate,0.5003663003663004,0.3333333333333333,full_train
cifar10,geo_r,3,0.5,1024,probe_weight,0.44837340876944837,0.3333333333333333,full_train
cifar10,geo_r,4,0.05,102,magnitude,0.2215568862275449,0.02553830746119179,full_train
cifar10,geo_r,4,0.05,102,variance,0.21428571428571427,0.02553830746119179,full_train
cifar10,geo_r,4,0.05,102,rate,0.21428571428571427,0.02553830746119179,full_train
cifar10,geo_r,4,0.05,102,probe_weight,0.13966480446927373,0.02553830746119179,full_train
cifar10,geo_r,4,0.1,204,magnitude,0.24390243902439024,0.052415210688591986,full_train
cifar10,geo_r,4,0.1,204,variance,0.24012158054711247,0.052415210688591986,full_train
cifar10,geo_r,4,0.1,204,rate,0.21068249258160238,0.052415210688591986,full_train
cifar10,geo_r,4,0.1,204,probe_weight,0.2,0.052415210688591986,full_train
cifar10,geo_r,4,0.2,409,magnitude,0.3130016051364366,0.11093029563330621,full_train
cifar10,geo_r,4,0.2,409,variance,0.30670926517571884,0.11093029563330621,full_train
cifar10,geo_r,4,0.2,409,rate,0.27613104524180965,0.11093029563330621,full_train
cifar10,geo_r,4,0.2,409,probe_weight,0.2565284178187404,0.11093029563330621,full_train
cifar10,geo_r,4,0.5,1024,magnitude,0.3989071038251366,0.3333333333333333,full_train
cifar10,geo_r,4,0.5,1024,variance,0.39414567733151806,0.3333333333333333,full_train
cifar10,geo_r,4,0.5,1024,rate,0.3960463531015678,0.3333333333333333,full_train
cifar10,geo_r,4,0.5,1024,probe_weight,0.38191632928475033,0.3333333333333333,full_train
cifar10,geo_r,5,0.05,102,magnitude,0.23636363636363636,0.02553830746119179,full_train
cifar10,geo_r,5,0.05,102,variance,0.23636363636363636,0.02553830746119179,full_train
cifar10,geo_r,5,0.05,102,rate,0.1657142857142857,0.02553830746119179,full_train
cifar10,geo_r,5,0.05,102,probe_weight,0.13333333333333333,0.02553830746119179,full_train
cifar10,geo_r,5,0.1,204,magnitude,0.21428571428571427,0.052415210688591986,full_train
cifar10,geo_r,5,0.1,204,variance,0.23636363636363636,0.052415210688591986,full_train
cifar10,geo_r,5,0.1,204,rate,0.1791907514450867,0.052415210688591986,full_train
cifar10,geo_r,5,0.1,204,probe_weight,0.15254237288135594,0.052415210688591986,full_train
cifar10,geo_r,5,0.2,409,magnitude,0.32362459546925565,0.11093029563330621,full_train
cifar10,geo_r,5,0.2,409,variance,0.32362459546925565,0.11093029563330621,full_train
cifar10,geo_r,5,0.2,409,rate,0.28012519561815336,0.11093029563330621,full_train
cifar10,geo_r,5,0.2,409,probe_weight,0.2642967542503864,0.11093029563330621,full_train
cifar10,geo_r,5,0.5,1024,magnitude,0.374496644295302,0.3333333333333333,full_train
cifar10,geo_r,5,0.5,1024,variance,0.3763440860215054,0.3333333333333333,full_train
cifar10,geo_r,5,0.5,1024,rate,0.37173476222371066,0.3333333333333333,full_train
cifar10,geo_r,5,0.5,1024,probe_weight,0.3544973544973545,0.3333333333333333,full_train
cifar10,geo_r,6,0.05,102,magnitude,0.12087912087912088,0.02553830746119179,full_train
cifar10,geo_r,6,0.05,102,variance,0.15254237288135594,0.02553830746119179,full_train
cifar10,geo_r,6,0.05,102,rate,0.0851063829787234,0.02553830746119179,full_train
cifar10,geo_r,6,0.05,102,probe_weight,0.1270718232044199,0.02553830746119179,full_train
cifar10,geo_r,6,0.1,204,magnitude,0.2289156626506024,0.052415210688591986,full_train
cifar10,geo_r,6,0.1,204,variance,0.21791044776119403,0.052415210688591986,full_train
cifar10,geo_r,6,0.1,204,rate,0.1826086956521739,0.052415210688591986,full_train
cifar10,geo_r,6,0.1,204,probe_weight,0.18604651162790697,0.052415210688591986,full_train
cifar10,geo_r,6,0.2,409,magnitude,0.28012519561815336,0.11093029563330621,full_train
cifar10,geo_r,6,0.2,409,variance,0.28414442700156983,0.11093029563330621,full_train
cifar10,geo_r,6,0.2,409,rate,0.25846153846153846,0.11093029563330621,full_train
cifar10,geo_r,6,0.2,409,probe_weight,0.24695121951219512,0.11093029563330621,full_train
cifar10,geo_r,6,0.5,1024,magnitude,0.43216783216783217,0.3333333333333333,full_train
cifar10,geo_r,6,0.5,1024,variance,0.42717770034843205,0.3333333333333333,full_train
cifar10,geo_r,6,0.5,1024,rate,0.4361851332398317,0.3333333333333333,full_train
cifar10,geo_r,6,0.5,1024,probe_weight,0.3960463531015678,0.3333333333333333,full_train
cifar10,geo_r,7,0.05,102,magnitude,0.3076923076923077,0.02553830746119179,full_train
cifar10,geo_r,7,0.05,102,variance,0.3246753246753247,0.02553830746119179,full_train
cifar10,geo_r,7,0.05,102,rate,0.25153374233128833,0.02553830746119179,full_train
cifar10,geo_r,7,0.05,102,probe_weight,0.1657142857142857,0.02553830746119179,full_train
cifar10,geo_r,7,0.1,204,magnitude,0.3161290322580645,0.052415210688591986,full_train
cifar10,geo_r,7,0.1,204,variance,0.3289902280130293,0.052415210688591986,full_train
cifar10,geo_r,7,0.1,204,rate,0.24770642201834864,0.052415210688591986,full_train
cifar10,geo_r,7,0.1,204,probe_weight,0.2326283987915408,0.052415210688591986,full_train
cifar10,geo_r,7,0.2,409,magnitude,0.4079173838209983,0.11093029563330621,full_train
cifar10,geo_r,7,0.2,409,variance,0.4226086956521739,0.11093029563330621,full_train
cifar10,geo_r,7,0.2,409,rate,0.3588039867109635,0.11093029563330621,full_train
cifar10,geo_r,7,0.2,409,probe_weight,0.3130016051364366,0.11093029563330621,full_train
cifar10,geo_r,7,0.5,1024,magnitude,0.48729121278140886,0.3333333333333333,full_train
cifar10,geo_r,7,0.5,1024,variance,0.4851341551849166,0.3333333333333333,full_train
cifar10,geo_r,7,0.5,1024,rate,0.4670487106017192,0.3333333333333333,full_train
cifar10,geo_r,7,0.5,1024,probe_weight,0.44022503516174405,0.3333333333333333,full_train
cifar10,geo_r,8,0.05,102,magnitude,0.2670807453416149,0.02553830746119179,full_train
cifar10,geo_r,8,0.05,102,variance,0.3161290322580645,0.02553830746119179,full_train
cifar10,geo_r,8,0.05,102,rate,0.20710059171597633,0.02553830746119179,full_train
cifar10,geo_r,8,0.05,102,probe_weight,0.20710059171597633,0.02553830746119179,full_train
cifar10,geo_r,8,0.1,204,magnitude,0.3161290322580645,0.052415210688591986,full_train
cifar10,geo_r,8,0.1,204,variance,0.31189710610932475,0.052415210688591986,full_train
cifar10,geo_r,8,0.1,204,rate,0.2830188679245283,0.052415210688591986,full_train
cifar10,geo_r,8,0.1,204,probe_weight,0.1724137931034483,0.052415210688591986,full_train
cifar10,geo_r,8,0.2,409,magnitude,0.41278065630397237,0.11093029563330621,full_train
cifar10,geo_r,8,0.2,409,variance,0.39829059829059826,0.11093029563330621,full_train
cifar10,geo_r,8,0.2,409,rate,0.3656093489148581,0.11093029563330621,full_train
cifar10,geo_r,8,0.2,409,probe_weight,0.3108974358974359,0.11093029563330621,full_train
cifar10,geo_r,8,0.5,1024,magnitude,0.5778120184899846,0.3333333333333333,full_train
cifar10,geo_r,8,0.5,1024,variance,0.5900621118012422,0.3333333333333333,full_train
cifar10,geo_r,8,0.5,1024,rate,0.5562310030395137,0.3333333333333333,full_train
cifar10,geo_r,8,0.5,1024,probe_weight,0.4755043227665706,0.3333333333333333,full_train
cifar10,geo_r,9,0.05,102,magnitude,0.11475409836065574,0.02553830746119179,full_train
cifar10,geo_r,9,0.05,102,variance,0.1270718232044199,0.02553830746119179,full_train
cifar10,geo_r,9,0.05,102,rate,0.0851063829787234,0.02553830746119179,full_train
cifar10,geo_r,9,0.05,102,probe_weight,0.13966480446927373,0.02553830746119179,full_train
cifar10,geo_r,9,0.1,204,magnitude,0.22522522522522523,0.052415210688591986,full_train
cifar10,geo_r,9,0.1,204,variance,0.2326283987915408,0.052415210688591986,full_train
cifar10,geo_r,9,0.1,204,rate,0.18604651162790697,0.052415210688591986,full_train
cifar10,geo_r,9,0.1,204,probe_weight,0.16905444126074498,0.052415210688591986,full_train
