dataset,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100_sub45k,geo_m,0.05,5,0.8189199924468994,0.33751999735832217,0.4813999950885773,0.4497811787695964,0.5130188114075582,18.904472470025112,0.4846000075340271,1.8721232261933908e-06,3.1826094845287646e-05,9.360616130966954e-06,True,True
imagenet100_sub45k,geo_m,0.1,5,0.8819599866867065,0.5095199942588806,0.37243999242782594,0.35046050314873384,0.39441948170691804,21.03985785187524,0.37139999866485596,1.22104896066911e-06,2.1978881292043982e-05,8.140326404460733e-06,True,True
imagenet100_sub45k,geo_m,0.15,5,0.8852399945259094,0.6430799841880799,0.24216001033782958,0.23449302246169626,0.2498269982139629,39.21766559421987,0.24290001392364502,1.0136963533543552e-07,2.02739270670871e-06,2.02739270670871e-06,True,True
imagenet100_sub45k,geo_m,0.2,5,0.8868399739265442,0.7101199865341187,0.17671998739242553,0.15547730311523106,0.19796267166962,10.32952536717632,0.17739999294281006,2.0820068155000124e-05,0.000333121090480002,7.999462411032342e-05,True,True
imagenet100_sub45k,geo_m,0.25,5,0.8878399729728699,0.755959975719452,0.13187999725341798,0.125833728389798,0.13792626611703795,27.082924753488555,0.13170000910758972,4.452869201211904e-07,8.460451482302617e-06,4.452869201211904e-06,True,True
imagenet100_sub45k,geo_m,0.3,5,0.8881199717521667,0.7991599798202514,0.08895999193191528,0.07521909116421735,0.10270089269961322,8.038659264756637,0.08980000019073486,5.630779285411444e-05,0.0006756935142493733,0.0001221173813805477,True,True
imagenet100_sub45k,geo_m,0.35,5,0.8884799838066101,0.8151999831199646,0.0732800006866455,0.06172704391714031,0.08483295745615069,7.875831309360284,0.07319998741149902,6.105869069027385e-05,0.0006756935142493733,0.0001221173813805477,True,True
imagenet100_sub45k,geo_m,0.4,5,0.8887599825859069,0.8316799759864807,0.05708000659942627,0.04720801863229246,0.06695199456656008,7.179322892987497,0.05689999461174011,8.804920746618091e-05,0.0008804920746618092,0.00016008946812032894,True,True
imagenet100_sub45k,geo_m,0.45,5,0.8893199920654297,0.8451199769973755,0.044200015068054196,0.03842659550772656,0.04997343462838183,9.505903192483789,0.04420003294944763,2.8963865248853885e-05,0.0004054941134839544,8.275390071101109e-05,True,True
imagenet100_sub45k,geo_m,0.5,5,0.8893199920654297,0.8546799659729004,0.034640026092529294,0.0295283324388016,0.03975171974625699,8.414290098266498,0.03530001640319824,4.699011452578664e-05,0.0006108714888352263,0.00011747528631446661,True,True
imagenet100_sub45k,geo_m,0.55,5,0.8891599655151368,0.8618399739265442,0.02731999158859253,0.020520000601548745,0.034119982575636316,4.988572786554866,0.02619999647140503,0.00036761095080901826,0.002940887606472146,0.0005655553089369511,True,True
imagenet100_sub45k,geo_m,0.6,5,0.888599979877472,0.8662399888038635,0.0223599910736084,0.01776279315885146,0.02695718898836534,6.039243128327436,0.022799968719482422,0.00017400794510524697,0.0015660715059472227,0.0002900132418420783,True,True
imagenet100_sub45k,geo_m,0.65,5,0.8883999705314636,0.8714799761772156,0.016919994354248048,0.012239069367024381,0.021600919341471715,4.488204339275579,0.016699999570846558,0.000554252874708928,0.003862949843796451,0.0007390038329452373,True,True
imagenet100_sub45k,geo_m,0.7,5,0.888599967956543,0.876039981842041,0.012559986114501953,0.010995262389039993,0.014124709839963914,9.966796260925873,0.01260000467300415,2.3998387233097028e-05,0.0003599758084964554,7.999462411032342e-05,True,True
imagenet100_sub45k,geo_m,0.75,5,0.8886399745941163,0.8779199719429016,0.010720002651214599,0.007757633945596407,0.013682371356832791,4.493242629595084,0.010800004005432129,0.0005518499776852073,0.003862949843796451,0.0007390038329452373,True,True
imagenet100_sub45k,geo_m,0.8,5,0.8893199801445008,0.8817599654197693,0.007560014724731445,0.0036635021989316055,0.011456527250531284,2.409076846907479,0.008000016212463379,0.005742280469913747,0.022969121879654986,0.006755624082251466,True,True
imagenet100_sub45k,geo_m,0.85,5,0.8887999892234802,0.882759976387024,0.006040012836456299,0.0037210324189107693,0.008358993254001829,3.234036144062929,0.005800008773803711,0.0019399927437163916,0.009699963718581959,0.0024249909296454896,True,True
